Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR10491521_1	SRR10491521_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	613782.0	0.0	5-301	52.0	80.0920600356403	159.84574001844302	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR10491521_2	SRR10491521_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	613782.0	0.0	5-301	52.0	80.76646944541737	140.96724407037027	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534671_1	SRR7534671_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1125302.0	0.0	5-151	51.0	68.76436429481905	111.43637352461828	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
SRR7534671_2	SRR7534671_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1125302.0	0.0	5-151	51.0	70.49066179076516	107.74528704294491	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534672_1	SRR7534672_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	450303.0	0.0	5-151	52.0	81.00638165431633	115.54834411496259	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534672_2	SRR7534672_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	450303.0	0.0	5-151	52.0	82.8418451606926	110.74389466648013	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534673_1	SRR7534673_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	626164.0	0.0	5-151	51.0	72.67220069436736	120.54560945694737	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534673_2	SRR7534673_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	626164.0	0.0	5-151	51.0	74.92321485441592	115.33999080113198	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534674_1	SRR7534674_1.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	670184.0	0.0	5-151	52.0	76.85007512220253	114.87675623410884	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR7534674_2	SRR7534674_2.trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	670184.0	0.0	5-151	52.0	78.53853268853025	111.57773686032492	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
