Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR10491521_1	19.9079399643597	52.0	159.84574001844302	10.0	613782.0
SRR10491521_2	19.23353055458263	52.0	140.96724407037027	10.0	613782.0
SRR7534671_1	31.235635705180954	51.0	111.43637352461828	10.0	1125302.0
SRR7534671_2	29.50933820923484	51.0	107.74528704294491	10.0	1125302.0
SRR7534672_1	18.99361834568367	52.0	115.54834411496259	10.0	450303.0
SRR7534672_2	17.1581548393074	52.0	110.74389466648013	10.0	450303.0
SRR7534673_1	27.327799305632638	51.0	120.54560945694737	10.0	626164.0
SRR7534673_2	25.076785145584083	51.0	115.33999080113198	10.0	626164.0
SRR7534674_1	23.149924877797474	52.0	114.87675623410884	10.0	670184.0
SRR7534674_2	21.461467311469747	52.0	111.57773686032492	10.0	670184.0
SRR7534675_1	28.83192192398309	52.0	110.21028708474142	10.0	1265898.0
SRR7534675_2	26.231377210319238	52.0	104.93777065766753	10.0	1265898.0
SRR7534676_1	31.307012088459146	51.0	113.57037466059681	10.0	1184432.0
SRR7534676_2	29.184769430527496	51.0	109.53475421130128	10.0	1184432.0
SRR7534677_1	30.430447768789463	52.0	113.17540779465548	10.0	1069656.0
SRR7534677_2	28.166383542976035	52.0	108.5676535259934	10.0	1069656.0
SRR7534678_1	30.965682981861804	52.0	114.93872566866283	10.0	1016282.0
SRR7534678_2	29.016570429870953	52.0	110.68716950610165	10.0	1016282.0
SRR7534679_1	18.401345355644338	52.0	117.41819725663386	10.0	427504.0
SRR7534679_2	16.37956938447637	52.0	111.15342780418429	10.0	427504.0
SRR7534680_1	22.01502957895795	51.0	113.35502869589268	10.0	578480.0
SRR7534680_2	19.24290919112383	51.0	104.86185520674871	10.0	578480.0
SRR7534681_1	21.59303346639851	52.0	199.94892805313157	10.0	315594.0
SRR7534681_2	20.630280316933565	51.0	163.9201505732048	10.0	315594.0
SRR7534682_1	15.695194048712295	52.0	181.07554912658605	10.0	318005.0
SRR7534682_2	14.753259606407767	52.0	149.76244398672978	10.0	318005.0
SRR7534683_1	11.980775197791203	51.0	189.2486613029088	10.0	148652.0
SRR7534683_2	11.476728651660324	51.0	158.53541156526651	10.0	148652.0
SRR7534684_1	12.77490341796873	52.0	196.7822739463033	10.0	202098.0
SRR7534684_2	12.090761115963687	52.0	162.41266118417798	10.0	202098.0
SRR7534685_1	55.60319265693316	51.0	160.8811699362966	20.0	445973.0
SRR7534685_2	54.39599191773518	51.0	137.77417018519057	20.0	445973.0
SRR7534686_1	66.34713156983105	50.0	179.29797077788027	20.0	423857.0
SRR7534686_2	63.78160417558059	50.0	148.6301394102256	20.0	423857.0
SRR7534687_1	14.37645095963235	52.0	181.08397690427063	10.0	288365.0
SRR7534687_2	13.462293507940743	52.0	150.82855408943527	10.0	288365.0
SRR7534688_1	35.16726004483145	50.0	153.75821661758118	10.0	272314.0
SRR7534688_2	34.56297528085453	49.0	134.86524379943742	10.0	272314.0
SRR7534689_1	13.583708996317128	52.0	137.0896425955545	10.0	401394.0
SRR7534689_2	12.957171672602755	51.0	122.66108611488961	10.0	401394.0
SRR7534690_1	13.733618838246102	52.0	190.3876512294113	10.0	257969.0
