Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR10491521_1	SRR10491521_1.fastq	Conventional base calls	Sanger / Illumina 1.9	620473.0	0.0	35-301	52.0	79.2778588329807	162.27814425446394	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR10491521_2	SRR10491521_2.fastq	Conventional base calls	Sanger / Illumina 1.9	620473.0	0.0	35-301	51.0	79.91053919144917	165.55993733812753	pass	fail	pass	fail	warn	pass	warn	pass	warn	pass
SRR7534671_1	SRR7534671_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1143444.0	0.0	35-151	51.0	67.71297076436963	111.41497965794565	pass	pass	pass	fail	warn	pass	warn	warn	fail	pass
SRR7534671_2	SRR7534671_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1143444.0	0.0	35-151	51.0	69.29113584162089	111.62906622449373	pass	pass	pass	fail	warn	pass	warn	warn	fail	pass
SRR7534672_1	SRR7534672_1.fastq	Conventional base calls	Sanger / Illumina 1.9	457466.0	0.0	35-151	52.0	79.93750612856076	115.71981742905484	pass	pass	pass	fail	warn	pass	warn	pass	fail	pass
SRR7534672_2	SRR7534672_2.fastq	Conventional base calls	Sanger / Illumina 1.9	457466.0	0.0	35-151	52.0	81.6652844257351	115.99499853541028	pass	pass	pass	fail	warn	pass	warn	pass	fail	pass
SRR7534673_1	SRR7534673_1.fastq	Conventional base calls	Sanger / Illumina 1.9	635215.0	0.0	35-151	51.0	71.82029139871366	120.86796753854993	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR7534673_2	SRR7534673_2.fastq	Conventional base calls	Sanger / Illumina 1.9	635215.0	0.0	35-151	52.0	73.97600209331497	120.99268908952087	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR7534674_1	SRR7534674_1.fastq	Conventional base calls	Sanger / Illumina 1.9	680454.0	0.0	35-151	52.0	75.7656091157602	114.95986209207382	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
SRR7534674_2	SRR7534674_2.fastq	Conventional base calls	Sanger / Illumina 1.9	680454.0	0.0	35-151	52.0	77.34390656697903	115.04535354336957	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
SRR7534675_1	SRR7534675_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1290813.0	0.0	35-151	52.0	69.87046642502158	110.23257125548007	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass
SRR7534675_2	SRR7534675_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1290813.0	0.0	35-151	52.0	72.24471170727067	110.84501473102611	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
SRR7534676_1	SRR7534676_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1203481.0	0.0	35-151	51.0	67.64056477898002	113.48338029432954	pass	pass	pass	fail	warn	pass	warn	warn	fail	pass
SRR7534676_2	SRR7534676_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1203481.0	0.0	35-151	51.0	69.61865937677676	113.77702265345278	pass	pass	pass	fail	warn	pass	warn	warn	fail	pass
SRR7534677_1	SRR7534677_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1084420.0	0.0	35-151	52.0	68.68526982312986	113.16659227974401	pass	pass	pass	fail	warn	pass	warn	warn	fail	pass
SRR7534677_2	SRR7534677_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1084420.0	0.0	35-151	52.0	70.75176870238953	113.57336271924163	pass	pass	pass	fail	warn	pass	warn	pass	fail	pass
SRR7534678_1	SRR7534678_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1031804.0	0.0	35-151	52.0	68.05508250723271	114.90847292702878	pass	pass	pass	fail	warn	pass	warn	warn	fail	pass
SRR7534678_2	SRR7534678_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1031804.0	0.0	35-151	52.0	69.85721460514257	115.19690173715163	pass	pass	pass	fail	warn	pass	warn	warn	fail	pass
SRR7534679_1	SRR7534679_1.fastq	Conventional base calls	Sanger / Illumina 1.9	433987.0	0.0	35-151	52.0	80.65076092142498	118.079864143396	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR7534679_2	SRR7534679_2.fastq	Conventional base calls	Sanger / Illumina 1.9	433987.0	0.0	35-151	52.0	82.5310389024837	118.47216391274392	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR7534680_1	SRR7534680_1.fastq	Conventional base calls	Sanger / Illumina 1.9	586307.0	0.0	35-151	51.0	77.11897738213807	115.28893224880481	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR7534680_2	SRR7534680_2.fastq	Conventional base calls	Sanger / Illumina 1.9	586307.0	0.0	35-151	52.0	79.60570616104329	116.29000336001447	pass	warn	pass	fail	warn	pass	warn	pass	warn	pass
SRR7534681_1	SRR7534681_1.fastq	Conventional base calls	Sanger / Illumina 1.9	317911.0	0.0	35-301	52.0	77.99719245083355	205.80340409737317	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR7534681_2	SRR7534681_2.fastq	Conventional base calls	Sanger / Illumina 1.9	317911.0	0.0	35-301	51.0	78.90089141425159	210.06771077439913	pass	fail	pass	fail	warn	pass	warn	pass	warn	pass
SRR7534682_1	SRR7534682_1.fastq	Conventional base calls	Sanger / Illumina 1.9	320645.0	0.0	35-301	52.0	83.75429473427353	189.2243166118293	pass	warn	pass	fail	warn	pass	warn	pass	warn	pass
SRR7534682_2	SRR7534682_2.fastq	Conventional base calls	Sanger / Illumina 1.9	320645.0	0.0	35-301	52.0	84.68238674964152	195.37120803380685	pass	fail	pass	fail	warn	pass	warn	pass	warn	pass
SRR7534683_1	SRR7534683_1.fastq	Conventional base calls	Sanger / Illumina 1.9	149920.0	0.0	35-301	51.0	87.32630625824346	194.28488527214515	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR7534683_2	SRR7534683_2.fastq	Conventional base calls	Sanger / Illumina 1.9	149920.0	0.0	35-301	51.0	87.7764406963806	198.42748799359657	pass	fail	pass	fail	warn	pass	warn	pass	warn	pass
SRR7534684_1	SRR7534684_1.fastq	Conventional base calls	Sanger / Illumina 1.9	203639.0	0.0	35-301	52.0	86.77535636651257	202.63866449943282	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
SRR7534684_2	SRR7534684_2.fastq	Conventional base calls	Sanger / Illumina 1.9	203639.0	0.0	35-301	51.0	87.44889984735809	207.2936667337789	pass	fail	pass	fail	warn	pass	warn	pass	warn	pass
SRR7534685_1	SRR7534685_1.fastq	Conventional base calls	Sanger / Illumina 1.9	452106.0	0.0	35-301	51.0	43.77660931208844	164.1715902907725	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR7534685_2	SRR7534685_2.fastq	Conventional base calls	Sanger / Illumina 1.9	452106.0	0.0	35-301	51.0	44.93225475696549	168.24426130155317	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR7534686_1	SRR7534686_1.fastq	Conventional base calls	Sanger / Illumina 1.9	428504.0	0.0	35-301	50.0	33.34861379034141	185.269498067696	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
