Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR10491521_1	20.722141167019302	52.0	162.27814425446394	10.0	620473.0
SRR10491521_2	20.089460808550825	51.0	165.55993733812753	20.0	620473.0
SRR7534671_1	32.28702923563037	51.0	111.41497965794565	20.0	1143444.0
SRR7534671_2	30.708864158379114	51.0	111.62906622449373	20.0	1143444.0
SRR7534672_1	20.062493871439244	52.0	115.71981742905484	20.0	457466.0
SRR7534672_2	18.334715574264905	52.0	115.99499853541028	20.0	457466.0
SRR7534673_1	28.179708601286336	51.0	120.86796753854993	10.0	635215.0
SRR7534673_2	26.023997906685025	52.0	120.99268908952087	10.0	635215.0
SRR7534674_1	24.2343908842398	52.0	114.95986209207382	30.0	680454.0
SRR7534674_2	22.65609343302097	52.0	115.04535354336957	30.0	680454.0
SRR7534675_1	30.129533574978424	52.0	110.23257125548007	30.0	1290813.0
SRR7534675_2	27.755288292729333	52.0	110.84501473102611	30.0	1290813.0
SRR7534676_1	32.35943522101998	51.0	113.48338029432954	20.0	1203481.0
SRR7534676_2	30.381340623223238	51.0	113.77702265345278	20.0	1203481.0
SRR7534677_1	31.314730176870142	52.0	113.16659227974401	20.0	1084420.0
SRR7534677_2	29.248231297610474	52.0	113.57336271924163	20.0	1084420.0
SRR7534678_1	31.94491749276729	52.0	114.90847292702878	20.0	1031804.0
SRR7534678_2	30.142785394857427	52.0	115.19690173715163	20.0	1031804.0
SRR7534679_1	19.349239078575025	52.0	118.079864143396	10.0	433987.0
SRR7534679_2	17.4689610975163	52.0	118.47216391274392	10.0	433987.0
SRR7534680_1	22.88102261786193	51.0	115.28893224880481	10.0	586307.0
SRR7534680_2	20.394293838956713	52.0	116.29000336001447	10.0	586307.0
SRR7534681_1	22.002807549166448	52.0	205.80340409737317	10.0	317911.0
SRR7534681_2	21.09910858574841	51.0	210.06771077439913	20.0	317911.0
SRR7534682_1	16.24570526572647	52.0	189.2243166118293	10.0	320645.0
SRR7534682_2	15.317613250358477	52.0	195.37120803380685	20.0	320645.0
SRR7534683_1	12.673693741756537	51.0	194.28488527214515	10.0	149920.0
SRR7534683_2	12.223559303619396	51.0	198.42748799359657	20.0	149920.0
SRR7534684_1	13.224643633487432	52.0	202.63866449943282	20.0	203639.0
SRR7534684_2	12.551100152641908	51.0	207.2936667337789	20.0	203639.0
SRR7534685_1	56.22339068791156	51.0	164.1715902907725	40.0	452106.0
SRR7534685_2	55.06774524303451	51.0	168.24426130155317	50.0	452106.0
SRR7534686_1	66.6513862096586	50.0	185.269498067696	30.0	428504.0
SRR7534686_2	64.24505455934107	50.0	191.45514861004798	40.0	428504.0
SRR7534687_1	14.947503862600257	52.0	185.62297007262924	10.0	291205.0
SRR7534687_2	14.043952713763687	51.0	190.76208856303978	20.0	291205.0
SRR7534688_1	36.10719203730795	50.0	156.4914141286308	30.0	276559.0
SRR7534688_2	35.50854785205517	49.0	159.54207601271338	40.0	276559.0
SRR7534689_1	15.1535745619382	52.0	138.27231786137548	30.0	409235.0
SRR7534689_2	14.561100614091956	51.0	141.91286669028798	40.0	409235.0
SRR7534690_1	14.245188246832285	52.0	195.73129306632214	10.0	260064.0
SRR7534690_2	13.80287178012992	51.0	199.67963655100283	30.0	260064.0
SRR7534691_1	30.083733696682316	53.0	115.7884070653801	20.0	998729.0
SRR7534691_2	27.943327153777233	53.0	116.04612862948808	20.0	998729.0
SRR7534692_1	27.871659419015344	52.0	112.59026727356796	30.0	860766.0
SRR7534692_2	26.326460020627437	52.0	112.64740823870831	30.0	860766.0
SRR7534693_1	23.81451838678653	53.0	100.60285963925695	30.0	860668.0
SRR7534693_2	22.49316911698554	53.0	100.9029230783531	30.0	860668.0
SRR7534694_1	27.336407067171734	51.0	105.94801693384757	30.0	1008867.0
SRR7534694_2	25.872957321783034	52.0	106.07551342248284	30.0	1008867.0
SRR7534695_1	11.277439715186105	51.0	117.00805231378726	20.0	209505.0
SRR7534695_2	10.571640676219346	51.0	117.04597980955108	20.0	209505.0
SRR7534696_1	27.853416826857185	52.0	109.75133585168889	20.0	1100983.0
SRR7534696_2	25.695439707453545	52.0	110.15506688114166	20.0	1100983.0
SRR7534697_1	26.329443503953783	51.0	106.5188687322037	30.0	992833.0
SRR7534697_2	24.691939214375097	51.0	106.98001476582668	30.0	992833.0
SRR7534698_1	31.983649111001114	52.0	104.68384225549664	30.0	1443017.0
SRR7534698_2	30.33778679589409	52.0	104.93158569857458	30.0	1443017.0
SRR7534699_1	27.507958414740656	51.0	102.61026270973505	30.0	1146208.0
SRR7534699_2	25.89735618780304	51.0	103.40807951087412	30.0	1146208.0
SRR7534700_1	39.26952305007432	51.0	113.79747991822744	20.0	1210675.0
SRR7534700_2	37.49219304660754	52.0	113.87159394552626	20.0	1210675.0
SRR7534701_1	22.116941442576774	52.0	162.82808897912832	20.0	614661.0
SRR7534701_2	21.308025744437813	52.0	166.816781933456	30.0	614661.0
SRR7534702_1	17.62723706613295	52.0	142.75752440309282	30.0	538149.0
SRR7534702_2	16.902349543197204	52.0	146.68536966527859	40.0	538149.0
SRR7534703_1	9.117580368645335	47.0	151.4874874079895	30.0	239239.0
SRR7534703_2	8.753582640885867	47.0	154.7531798745188	40.0	239239.0
SRR7534704_1	9.512343522296845	52.0	155.46355098710112	30.0	139702.0
SRR7534704_2	9.058222793193664	52.0	159.23369028360366	40.0	139702.0
SRR7534705_1	14.327586496729069	52.0	144.56331161151454	30.0	338216.0
SRR7534705_2	14.184714316989158	51.0	148.4619947016108	40.0	338216.0
SRR7534706_1	17.666453831381375	52.0	160.5835027758833	30.0	470661.0
SRR7534706_2	17.232536601309363	52.0	165.18938896573118	40.0	470661.0
SRR7534707_1	25.045523578151602	52.0	126.45328230857372	10.0	449455.0
SRR7534707_2	22.283913654730043	52.0	126.58766061118466	10.0	449455.0
SRR7534708_1	31.625695421466276	53.0	121.90599069041964	30.0	366719.0
SRR7534708_2	28.68341541051076	53.0	122.17993886327133	30.0	366719.0
SRR7534709_1	5.880234833659486	51.0	236.6106771037182	10.0	63875.0
SRR7534709_2	5.401174168297445	51.0	241.32190998043052	20.0	63875.0
SRR7534710_1	11.450424740183564	52.0	185.8968421728345	10.0	218093.0
SRR7534710_2	10.818973957064443	52.0	190.76809893027286	30.0	218093.0
